Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
02/18/2013 19:53:56	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Debug\ConfigForDLL.dll	DLLServices	WizardWrx.DLLServices	1.0.1.35817	02/18/2013 19:53:56	02/19/2013 01:53:56	7680
02/18/2013 20:01:56	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Debug\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.2.36058	02/18/2013 20:01:56	02/19/2013 02:01:56	7680
02/18/2013 20:17:55	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Debug\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.3.36537	02/18/2013 20:17:54	02/19/2013 02:17:54	7680
02/18/2013 20:18:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.4.36560	02/18/2013 20:18:40	02/19/2013 02:18:40	7168
02/18/2013 20:25:32	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.5.36765	02/18/2013 20:25:31	02/19/2013 02:25:31	7168
02/19/2013 19:22:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.6.34866	02/19/2013 19:22:13	02/20/2013 01:22:13	8192
02/19/2013 19:22:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.7.34883	02/19/2013 19:22:47	02/20/2013 01:22:47	8192
02/20/2013 01:02:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.8.1884	02/20/2013 01:02:50	02/20/2013 07:02:50	8192
02/20/2013 01:43:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.9.3092	02/20/2013 01:43:05	02/20/2013 07:43:05	7168
02/21/2013 19:08:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\DLLServices\DLLServices\bin\Release\WizardWrx.DLLServices.dll	DLLServices	WizardWrx.DLLServices	1.0.10.34460	02/21/2013 19:08:42	02/22/2013 01:08:42	7680
