"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\bin\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/10/16 21:37:07","2010/10/29 20:36:14","2014/09/01 13:51:43"
"C:\Documents and Settings\All Users\Documents\H_DEASE\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/14 19:39:10","2010/10/29 20:36:14","2014/10/29 02:41:33"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 03:25:23","2010/10/29 18:36:14","2010/10/29 18:36:14"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 20:30:12","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/08/14 23:45:42","2010/10/29 20:36:14","2014/11/22 19:36:52"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/08 23:58:44","2010/10/29 20:36:14","2014/12/15 22:10:34"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/08 23:58:44","2010/10/29 20:36:14","2014/12/15 22:56:51"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:06:18","2010/10/29 20:36:14","2014/11/22 03:31:49"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:06:18","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\AssemblyPropertyViewer\AssemblyPropertyViewer\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/06/11 22:47:09","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\AssemblyPropertyViewer\AssemblyPropertyViewer\obj\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:07:05","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\ConsoleAppAids2\TestStand\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/06/12 00:33:24","2010/10/29 20:36:14","2016/06/09 22:02:05"
"C:\Documents and Settings\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\ConsoleAppAids2\TestStand\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/06/12 00:33:24","2010/10/29 20:36:14","2015/06/04 23:25:59"
"C:\Documents and Settings\Public\Documents\H_DEASE\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/14 19:39:10","2010/10/29 20:36:14","2014/10/29 02:41:33"
"C:\Documents and Settings\Public\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 03:25:23","2010/10/29 18:36:14","2010/10/29 18:36:14"
"C:\Documents and Settings\Public\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 20:30:12","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Documents and Settings\Public\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/08/14 23:45:42","2010/10/29 20:36:14","2014/11/22 19:36:52"
"C:\ProgramData\Documents\H_DEASE\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/14 19:39:10","2010/10/29 20:36:14","2014/10/29 02:41:33"
"C:\ProgramData\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 03:25:23","2010/10/29 18:36:14","2010/10/29 18:36:14"
"C:\ProgramData\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 20:30:12","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\ProgramData\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/08/14 23:45:42","2010/10/29 20:36:14","2014/11/22 19:36:52"
"C:\Users\All Users\Documents\H_DEASE\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/14 19:39:10","2010/10/29 20:36:14","2014/10/29 02:41:33"
"C:\Users\All Users\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 03:25:23","2010/10/29 18:36:14","2010/10/29 18:36:14"
"C:\Users\All Users\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 20:30:12","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Users\All Users\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/08/14 23:45:42","2010/10/29 20:36:14","2014/11/22 19:36:52"
"C:\Users\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/08 23:58:44","2010/10/29 20:36:14","2014/12/15 22:10:34"
"C:\Users\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/08 23:58:44","2010/10/29 20:36:14","2014/12/15 22:56:51"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:06:18","2010/10/29 20:36:14","2014/11/22 03:31:49"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\NOLANB\EZPayFileMonitor\EZPayFileMonitor\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:06:18","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\AssemblyPropertyViewer\AssemblyPropertyViewer\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/06/11 22:47:09","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\AssemblyPropertyViewer\AssemblyPropertyViewer\obj\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 00:07:05","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\ConsoleAppAids2\TestStand\bin\Debug\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/06/12 00:33:24","2010/10/29 20:36:14","2016/06/09 22:02:05"
"C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\ConsoleAppAids2\TestStand\bin\Release\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/06/12 00:33:24","2010/10/29 20:36:14","2015/06/04 23:25:59"
"C:\Users\Public\Documents\H_DEASE\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/14 19:39:10","2010/10/29 20:36:14","2014/10/29 02:41:33"
"C:\Users\Public\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 03:25:23","2010/10/29 18:36:14","2010/10/29 18:36:14"
"C:\Users\Public\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/08/15 20:30:12","2010/10/29 20:36:14","2014/10/16 14:43:20"
"C:\Users\Public\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.AssemblyPropertyViewer.dll","2","33060","11776","2016/08/14 23:45:42","2010/10/29 20:36:14","2014/11/22 19:36:52"
"C:\UTIL\WizardWrx.AssemblyPropertyViewer.dll","2","33206","11776","2016/01/09 03:16:47","2010/10/29 20:36:14","2014/11/09 18:47:31"
