FullName	AssemblyFileBaseName	AssemblyFileName	AssemblyGuidString	AssembyDirName	Comments	CompanyName	Culture	Description	FileCreationDate	FileModifiedDate	LegalCopyright	LegalTrademarks	ProductName	PublicKeyToken	RuntimeVersion	VersionString
mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089	mscorlib	mscorlib.dll	BED7F4EA-1A96-11d2-8F08-00A0C9A6186D	C:\Windows\Microsoft.NET\Framework64\v2.0.50727	Flavor=Retail	Microsoft Corporation	Invariant Language (Invariant Country)	Microsoft Common Language Runtime Class Library	2017/05/10 14:10:42 (2017/05/10 19:10:42 UTC)	2016/03/23 17:39:56 (2016/03/23 22:39:56 UTC)	© Microsoft Corporation.  All rights reserved.		Microsoft® .NET Framework	b77a5c561934e089	v2.0.50727	2.0.50727.8669 (QFE.050727-8600)
System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089	System	System.dll		C:\Windows\assembly\GAC_MSIL\System\2.0.0.0__b77a5c561934e089	Flavor=Retail	Microsoft Corporation	Invariant Language (Invariant Country)	.NET Framework	2017/05/10 14:10:42 (2017/05/10 19:10:42 UTC)	2017/03/28 08:05:59 (2017/03/28 13:05:59 UTC)	© Microsoft Corporation.  All rights reserved.		Microsoft® .NET Framework	b77a5c561934e089	v2.0.50727	2.0.50727.8759 (QFE.050727-8700)
System.Core, Version=3.5.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089	System.Core	System.Core.dll		C:\Windows\assembly\GAC_MSIL\System.Core\3.5.0.0__b77a5c561934e089	Flavor=Retail	Microsoft Corporation	Invariant Language (Invariant Country)	.NET Framework	2010/11/20 21:25:01 (2010/11/21 03:25:01 UTC)	2010/11/20 21:25:01 (2010/11/21 03:25:01 UTC)	© Microsoft Corporation.  All rights reserved.		Microsoft® .NET Framework	b77a5c561934e089	v2.0.50727	3.5.30729.5420 built by: Win7SP1
System.Xml, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089	System.Xml	System.Xml.dll		C:\Windows\assembly\GAC_MSIL\System.Xml\2.0.0.0__b77a5c561934e089	Flavor=Retail	Microsoft Corporation	Invariant Language (Invariant Country)	.NET Framework	2016/02/10 03:18:04 (2016/02/10 09:18:04 UTC)	2015/12/04 08:07:52 (2015/12/04 14:07:52 UTC)	© Microsoft Corporation.  All rights reserved.		Microsoft® .NET Framework	b77a5c561934e089	v2.0.50727	2.0.50727.5494 (Win7SP1GDR.050727-5400)
WizardWrx.AssemblyUtils, Version=7.0.62.126, Culture=neutral, PublicKeyToken=null	WizardWrx.AssemblyUtils	WizardWrx.AssemblyUtils.dll	2c6f30d9-f8c8-49e9-a427-1ba1499a69f9	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug		David A. Gray	Invariant Language (Invariant Country)	WizardWrx.AssemblyUtils	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/13 01:04:13 (2017/07/13 06:04:13 UTC)	Copyright © 2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.62.126
WizardWrx.Common, Version=7.0.76.39083, Culture=neutral, PublicKeyToken=null	WizardWrx.Common	WizardWrx.Common.dll	57f5765e-6021-481a-a39e-31d575988754	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug		David A. Gray	Invariant Language (Invariant Country)	WizardWrx.Common	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/06 22:42:46 (2017/07/07 03:42:46 UTC)	Copyright © 2013-2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.76.39083
WizardWrx.ConsoleStreams, Version=7.0.138.128, Culture=neutral, PublicKeyToken=null	WizardWrx.ConsoleStreams	WizardWrx.ConsoleStreams.dll	57f0c693-d8b0-451b-87f4-a1cef5dfc78b	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug		David A. Gray	Invariant Language (Invariant Country)	WizardWrx.ConsoleStreams	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/13 01:04:17 (2017/07/13 06:04:17 UTC)	Copyright © 2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.138.128
WizardWrx.Core, Version=7.0.101.124, Culture=neutral, PublicKeyToken=null	WizardWrx.Core	WizardWrx.Core.dll	5563c503-081b-4c30-950d-0e1234ee5949	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug		David A. Gray	Invariant Language (Invariant Country)	WizardWrx.Core	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/13 01:04:09 (2017/07/13 06:04:09 UTC)	Copyright © 2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.101.124
WizardWrx.DLLConfigurationManager, Version=7.0.152.130, Culture=neutral, PublicKeyToken=null	WizardWrx.DLLConfigurationManager	WizardWrx.DLLConfigurationManager.dll	27664ebc-0365-4771-80bb-f764863ac338	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug		David A. Gray	Invariant Language (Invariant Country)	WizardWrx.DLLConfigurationManager	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/13 01:04:20 (2017/07/13 06:04:20 UTC)	Copyright © 2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.152.130
WizardWrx.EmbeddedTextFile, Version=7.0.48.41210, Culture=neutral, PublicKeyToken=null	WizardWrx.EmbeddedTextFile	WizardWrx.EmbeddedTextFile.dll	f760e8dc-4ed4-438a-b728-6f7ded7a6034	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\DLLServices2TestStand\bin\Debug	Use the methods of this class to read text files that are embedded in the assembly, and to test arbitrary byte arrays for the presence of a Byte Order Mark.	David A. Gray	Invariant Language (Invariant Country)	EmbeddedResourceReader	2017/03/30 19:05:46 (2017/03/31 00:05:46 UTC)	2017/07/11 23:53:41 (2017/07/12 04:53:41 UTC)	Copyright 2017, David A. Gray	This library is distributed under a three-clause BSD license.	DLLServices		v2.0.50727	7.0.48.41210
