FullName	Name	GUID	TypeHandle	GUIDBytes
System.Exception	Exception	a1c0a095-df97-3441-bfc1-c9f194e494db	6DCA0EDC	95A0C0A197DF4134BFC1C9F194E494DB
System.ArgumentException	ArgumentException	3fdceec6-b14b-37e2-bb69-abc7ca0da22f	6DC875B4	C6EEDC3F4BB1E237BB69ABC7CA0DA22F
System.ArgumentOutOfRangeException	ArgumentOutOfRangeException	74bdd0b9-38d7-3fda-a67e-d404ee684f24	6E2BBE20	B9D0BD74D738DA3FA67ED404EE684F24
System.ArgumentNullException	ArgumentNullException	3bd1f243-9bc4-305d-9b1c-0d10c80329fc	6DC78E9C	43F2D13BC49B5D309B1C0D10C80329FC
System.ObjectDisposedException	ObjectDisposedException	f17baaf6-d35c-3c6e-acd3-d0d49a5022c4	6DC9940C	F6AA7BF15CD36E3CACD3D0D49A5022C4
System.IO.IOException	IOException	a164c0bf-67ae-3c7e-bc05-bfe24a8cdb62	6DC92F60	BFC064A1AE677E3CBC05BFE24A8CDB62
System.FormatException	FormatException	964aa3bd-4b12-3e23-9d7f-99342afae812	6DC840F0	BDA34A96124B233E9D7F99342AFAE812
System.IO.FileNotFoundException	FileNotFoundException	48c6e96f-a2f3-33e7-ba7f-c8f74866760b	6DC87658	6FE9C648F3A2E733BA7FC8F74866760B
System.IO.DirectoryNotFoundException	DirectoryNotFoundException	8833bc41-dc6b-34b9-a799-682d2554f02f	6DC7EF10	41BC33886BDCB934A799682D2554F02F
System.IO.DriveNotFoundException	DriveNotFoundException	a8f9f740-70c9-30a7-937c-59785a9bb5a4	6E2CD4DC	40F7F9A8C970A730937C59785A9BB5A4
System.IO.EndOfStreamException	EndOfStreamException	58d052bc-a3df-3508-ac95-ff297bdc9f0c	6E2CD574	BC52D058DFA30835AC95FF297BDC9F0C
System.IO.InternalBufferOverflowException	InternalBufferOverflowException	db65ddb4-f5ea-3428-bf23-33b871b0792a	6D6A92D4	B4DD65DBEAF52834BF2333B871B0792A
System.IO.InvalidDataException	InvalidDataException	1cdfe7d7-4ac8-327a-87ab-d2c30cfbb508	6D69AD18	D7E7DF1CC84A7A3287ABD2C30CFBB508
System.IO.PathTooLongException	PathTooLongException	c016a313-9606-36d3-a823-33ebf5006189	6DC8F338	13A316C00696D336A82333EBF5006189
System.InvalidCastException	InvalidCastException	7f6bcbe5-eb30-370b-9f1b-92a6265afedd	6E2C09E0	E5CB6B7F30EB0B379F1B92A6265AFEDD
System.InvalidOperationException	InvalidOperationException	9546306b-1b68-33af-80db-3a9206501515	6DC88E44	6B304695681BAF3380DB3A9206501515
System.NullReferenceException	NullReferenceException	7f71db2d-1ea0-3cae-8087-26095f5215e6	6DC9031C	2DDB717FA01EAE3C808726095F5215E6
System.OutOfMemoryException	OutOfMemoryException	ccf306ae-33bd-3003-9cce-daf5befef611	6DCA0F6C	AE06F3CCBD3303309CCEDAF5BEFEF611
System.OverflowException	OverflowException	4286fa72-a2fa-3245-8751-d4206070a191	6E2C0FDC	72FA8642FAA245328751D4206070A191
System.PlatformNotSupportedException	PlatformNotSupportedException	a36738b5-fa8f-3316-a929-68099a32b43b	6E2C106C	B53867A38FFA1633A92968099A32B43B
System.RankException	RankException	c9f61cbd-287f-3d24-9feb-2c3f347cf570	6E2C10FC	BD1CF6C97F28243D9FEB2C3F347CF570
System.StackOverflowException	StackOverflowException	9c125a6f-eae2-3fc1-97a1-c0dceab0b5df	6DCA0FFC	6F5A129CE2EAC13F97A1C0DCEAB0B5DF
System.TimeoutException	TimeoutException	eaa78d4a-20a3-3fde-ab72-d3d55e3aefe6	6DC861E0	4A8DA7EAA320DE3FAB72D3D55E3AEFE6
System.TypeInitializationException	TypeInitializationException	811fb5f2-9bfe-3557-83de-1279f0b3eb55	6E2C12D8	F2B51F81FE9B573583DE1279F0B3EB55
System.TypeLoadException	TypeLoadException	112bc2e7-9ef9-3648-af9e-45c0d4b89929	6E2BD0FC	E7C22B11F99E4836AF9E45C0D4B89929
System.TypeUnloadedException	TypeUnloadedException	d6d2034d-5f67-30d7-9cc5-452f2c46694f	6E2BCC84	4D03D2D6675FD7309CC5452F2C46694F
