Name	Hex	Decimal
A	0x00000041	65
Add	0x0000006B	107
Alt	0x00040000	262144
Apps	0x0000005D	93
Attn	0x000000F6	246
B	0x00000042	66
Back	0x00000008	8
BrowserBack	0x000000A6	166
BrowserFavorites	0x000000AB	171
BrowserForward	0x000000A7	167
BrowserHome	0x000000AC	172
BrowserRefresh	0x000000A8	168
BrowserSearch	0x000000AA	170
BrowserStop	0x000000A9	169
C	0x00000043	67
Cancel	0x00000003	3
Capital	0x00000014	20
Capital	0x00000014	20
Clear	0x0000000C	12
Control	0x00020000	131072
ControlKey	0x00000011	17
Crsel	0x000000F7	247
D	0x00000044	68
D0	0x00000030	48
D1	0x00000031	49
D2	0x00000032	50
D3	0x00000033	51
D4	0x00000034	52
D5	0x00000035	53
D6	0x00000036	54
D7	0x00000037	55
D8	0x00000038	56
D9	0x00000039	57
Decimal	0x0000006E	110
Delete	0x0000002E	46
Divide	0x0000006F	111
Down	0x00000028	40
E	0x00000045	69
End	0x00000023	35
Return	0x0000000D	13
EraseEof	0x000000F9	249
Escape	0x0000001B	27
Execute	0x0000002B	43
Exsel	0x000000F8	248
F	0x00000046	70
F1	0x00000070	112
F10	0x00000079	121
F11	0x0000007A	122
F12	0x0000007B	123
F13	0x0000007C	124
F14	0x0000007D	125
F15	0x0000007E	126
F16	0x0000007F	127
F17	0x00000080	128
F18	0x00000081	129
F19	0x00000082	130
F2	0x00000071	113
F20	0x00000083	131
F21	0x00000084	132
F22	0x00000085	133
F23	0x00000086	134
F24	0x00000087	135
F3	0x00000072	114
F4	0x00000073	115
F5	0x00000074	116
F6	0x00000075	117
F7	0x00000076	118
F8	0x00000077	119
F9	0x00000078	120
FinalMode	0x00000018	24
G	0x00000047	71
H	0x00000048	72
KanaMode	0x00000015	21
KanaMode	0x00000015	21
HanjaMode	0x00000019	25
Help	0x0000002F	47
Home	0x00000024	36
I	0x00000049	73
IMEAceept	0x0000001E	30
IMEAceept	0x0000001E	30
IMEConvert	0x0000001C	28
IMEModeChange	0x0000001F	31
IMENonconvert	0x0000001D	29
Insert	0x0000002D	45
J	0x0000004A	74
JunjaMode	0x00000017	23
K	0x0000004B	75
KanaMode	0x00000015	21
HanjaMode	0x00000019	25
KeyCode	0x0000FFFF	65535
L	0x0000004C	76
LaunchApplication1	0x000000B6	182
LaunchApplication2	0x000000B7	183
LaunchMail	0x000000B4	180
LButton	0x00000001	1
LControlKey	0x000000A2	162
Left	0x00000025	37
LineFeed	0x0000000A	10
LMenu	0x000000A4	164
LShiftKey	0x000000A0	160
LWin	0x0000005B	91
M	0x0000004D	77
MButton	0x00000004	4
MediaNextTrack	0x000000B0	176
MediaPlayPause	0x000000B3	179
MediaPreviousTrack	0x000000B1	177
MediaStop	0x000000B2	178
Menu	0x00000012	18
Modifiers	0xFFFF0000	-65536
Multiply	0x0000006A	106
N	0x0000004E	78
Next	0x00000022	34
NoName	0x000000FC	252
None	0x00000000	0
NumLock	0x00000090	144
NumPad0	0x00000060	96
NumPad1	0x00000061	97
NumPad2	0x00000062	98
NumPad3	0x00000063	99
NumPad4	0x00000064	100
NumPad5	0x00000065	101
NumPad6	0x00000066	102
NumPad7	0x00000067	103
NumPad8	0x00000068	104
NumPad9	0x00000069	105
O	0x0000004F	79
Oem1	0x000000BA	186
OemBackslash	0x000000E2	226
OemQuestion	0x000000BF	191
Oemtilde	0x000000C0	192
OemOpenBrackets	0x000000DB	219
Oem5	0x000000DC	220
Oem6	0x000000DD	221
Oem7	0x000000DE	222
Oem8	0x000000DF	223
OemBackslash	0x000000E2	226
OemClear	0x000000FE	254
Oem6	0x000000DD	221
Oemcomma	0x000000BC	188
OemMinus	0x000000BD	189
OemOpenBrackets	0x000000DB	219
OemPeriod	0x000000BE	190
Oem5	0x000000DC	220
Oemplus	0x000000BB	187
OemQuestion	0x000000BF	191
Oem7	0x000000DE	222
Oem1	0x000000BA	186
Oemtilde	0x000000C0	192
P	0x00000050	80
Pa1	0x000000FD	253
Packet	0x000000E7	231
Next	0x00000022	34
PageUp	0x00000021	33
Pause	0x00000013	19
Play	0x000000FA	250
Print	0x0000002A	42
PrintScreen	0x0000002C	44
PageUp	0x00000021	33
ProcessKey	0x000000E5	229
Q	0x00000051	81
R	0x00000052	82
RButton	0x00000002	2
RControlKey	0x000000A3	163
Return	0x0000000D	13
Right	0x00000027	39
RMenu	0x000000A5	165
RShiftKey	0x000000A1	161
RWin	0x0000005C	92
S	0x00000053	83
Scroll	0x00000091	145
Select	0x00000029	41
SelectMedia	0x000000B5	181
Separator	0x0000006C	108
Shift	0x00010000	65536
ShiftKey	0x00000010	16
Sleep	0x0000005F	95
PrintScreen	0x0000002C	44
Space	0x00000020	32
Subtract	0x0000006D	109
T	0x00000054	84
Tab	0x00000009	9
U	0x00000055	85
Up	0x00000026	38
V	0x00000056	86
VolumeDown	0x000000AE	174
VolumeMute	0x000000AD	173
VolumeUp	0x000000AF	175
W	0x00000057	87
X	0x00000058	88
XButton1	0x00000005	5
XButton2	0x00000006	6
Y	0x00000059	89
Z	0x0000005A	90
Zoom	0x000000FB	251
